datetime,timezone,platform,type,media_path,caption_path,status,thumbnail_path
2025-09-06T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day21_916.mp4,./content/captions/2025-09-06.txt,pending,./assets/images_final/square/day21_thumb.jpg
2025-09-06T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day21_916.mp4,./content/captions/2025-09-06.txt,pending,
2025-09-07T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day22.jpg,./content/captions/2025-09-07.txt,pending,
2025-09-07T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day22.jpg,./content/captions/2025-09-07.txt,pending,
2025-09-07T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day22_916.mp4,./content/captions/2025-09-07.txt,pending,./assets/images_final/square/day22_thumb.jpg
2025-09-07T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day22_916.mp4,./content/captions/2025-09-07.txt,pending,
2025-09-08T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day23.jpg,./content/captions/2025-09-08.txt,pending,
2025-09-08T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day23.jpg,./content/captions/2025-09-08.txt,pending,
2025-09-08T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day23_916.mp4,./content/captions/2025-09-08.txt,pending,./assets/images_final/square/day23_thumb.jpg
2025-09-08T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day23_916.mp4,./content/captions/2025-09-08.txt,pending,
2025-09-09T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day24.jpg,./content/captions/2025-09-09.txt,pending,
2025-09-09T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day24.jpg,./content/captions/2025-09-09.txt,pending,
2025-09-09T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day24_916.mp4,./content/captions/2025-09-09.txt,pending,./assets/images_final/square/day24_thumb.jpg
2025-09-09T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day24_916.mp4,./content/captions/2025-09-09.txt,pending,
2025-09-10T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day25.jpg,./content/captions/2025-09-10.txt,pending,
2025-09-10T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day25.jpg,./content/captions/2025-09-10.txt,pending,
2025-09-10T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day25_916.mp4,./content/captions/2025-09-10.txt,pending,./assets/images_final/square/day25_thumb.jpg
